payment_id,user_id,subscription_id,amount,payment_date,payment_status
1,1,1,14.99,2023-11-24,Success
2,1,1,14.99,2023-12-24,Success
3,1,1,14.99,2024-01-23,Success
4,1,1,14.99,2024-02-22,Success
5,1,1,14.99,2024-03-23,Success
6,1,1,14.99,2024-04-22,Failed
7,1,1,14.99,2024-05-22,Success
8,1,1,14.99,2024-06-21,Success
9,1,1,14.99,2024-07-21,Success
10,1,1,14.99,2024-08-20,Success
11,1,1,14.99,2024-09-19,Success
12,1,1,14.99,2024-10-19,Success
13,1,1,14.99,2024-11-18,Success
14,1,1,14.99,2024-12-18,Success
15,1,2,9.99,2024-05-22,Success
16,1,2,9.99,2024-06-21,Success
17,1,2,9.99,2024-07-21,Success
18,1,2,9.99,2024-08-20,Success
19,1,2,9.99,2024-09-19,Failed
20,1,2,9.99,2024-10-19,Success
21,1,2,9.99,2024-11-18,Success
22,1,2,9.99,2024-12-18,Success
23,1,3,9.99,2024-11-18,Success
24,1,3,9.99,2024-12-18,Success
25,2,4,9.99,2023-05-06,Success
26,2,4,9.99,2023-06-05,Success
27,2,4,9.99,2023-07-05,Success
28,2,4,9.99,2023-08-04,Success
29,2,4,9.99,2023-09-03,Success
30,2,4,9.99,2023-10-03,Success
31,2,4,9.99,2023-11-02,Success
32,2,4,9.99,2023-12-02,Success
33,2,4,9.99,2024-01-01,Success
34,2,4,9.99,2024-01-31,Success
35,2,4,9.99,2024-03-01,Success
36,2,4,9.99,2024-03-31,Success
37,2,4,9.99,2024-04-30,Success
38,2,4,9.99,2024-05-30,Success
39,2,4,9.99,2024-06-29,Failed
40,2,4,9.99,2024-07-29,Success
41,2,4,9.99,2024-08-28,Success
42,2,4,9.99,2024-09-27,Success
43,2,4,9.99,2024-10-27,Success
44,2,4,9.99,2024-11-29,Recovered
45,2,4,9.99,2024-11-26,Failed
46,2,4,9.99,2024-12-26,Success
47,2,5,9.99,2023-11-05,Recovered
48,2,5,9.99,2023-11-02,Failed
49,2,5,9.99,2023-12-02,Success
50,2,5,9.99,2024-01-01,Success
51,2,5,9.99,2024-01-31,Success
52,3,6,19.99,2023-12-13,Success
53,3,6,19.99,2024-01-12,Success
54,3,6,19.99,2024-02-11,Success
55,3,6,19.99,2024-03-12,Success
56,3,6,19.99,2024-04-11,Success
57,3,6,19.99,2024-05-11,Success
58,4,7,19.99,2023-01-17,Success
59,4,7,19.99,2023-02-16,Success
60,4,7,19.99,2023-03-18,Success
61,4,7,19.99,2023-04-17,Success
62,5,8,14.99,2023-09-16,Success
63,5,8,14.99,2023-10-16,Success
64,5,8,14.99,2023-11-18,Recovered
65,5,8,14.99,2023-11-15,Failed
66,5,8,14.99,2023-12-15,Success
67,5,8,14.99,2024-01-14,Success
68,5,8,14.99,2024-02-13,Success
69,5,8,14.99,2024-03-14,Success
70,5,8,14.99,2024-04-13,Success
71,5,8,14.99,2024-05-13,Success
72,5,8,14.99,2024-06-12,Success
73,5,8,14.99,2024-07-12,Success
74,5,8,14.99,2024-08-11,Success
75,5,8,14.99,2024-09-10,Success
76,5,8,14.99,2024-10-10,Success
77,5,8,14.99,2024-11-09,Success
78,5,8,14.99,2024-12-09,Success
79,5,9,14.99,2024-03-14,Success
80,5,9,14.99,2024-04-13,Success
81,5,9,14.99,2024-05-13,Success
82,5,9,14.99,2024-06-12,Success
83,5,9,14.99,2024-07-12,Failed
84,5,9,14.99,2024-08-11,Success
85,5,9,14.99,2024-09-10,Success
86,5,9,14.99,2024-10-10,Success
87,5,9,14.99,2024-11-09,Success
88,5,9,14.99,2024-12-09,Success
89,5,10,14.99,2024-09-10,Success
90,5,10,14.99,2024-10-13,Recovered
91,5,10,14.99,2024-10-10,Failed
92,5,10,14.99,2024-11-09,Success
93,5,10,14.99,2024-12-09,Success
94,6,11,19.99,2023-11-29,Success
95,6,11,19.99,2023-12-29,Success
96,6,11,19.99,2024-01-28,Success
97,6,11,19.99,2024-02-27,Success
98,7,12,19.99,2023-10-29,Success
99,7,12,19.99,2023-11-28,Success
100,7,12,19.99,2023-12-28,Success
101,7,12,19.99,2024-01-27,Success
102,7,12,19.99,2024-02-26,Failed
103,7,12,19.99,2024-03-27,Success
104,7,12,19.99,2024-04-26,Success
105,7,12,19.99,2024-05-26,Success
106,7,12,19.99,2024-06-25,Success
107,7,12,19.99,2024-07-25,Success
108,7,12,19.99,2024-08-24,Success
109,7,12,19.99,2024-09-23,Success
110,7,12,19.99,2024-10-23,Success
111,7,12,19.99,2024-11-22,Success
112,7,12,19.99,2024-12-22,Success
113,7,13,19.99,2024-04-26,Success
114,7,13,19.99,2024-05-26,Success
115,7,13,19.99,2024-06-25,Success
116,7,13,19.99,2024-07-25,Success
117,7,13,19.99,2024-08-24,Success
