subscription_id,user_id,plan,monthly_price,start_date,end_date,status
1,1,Standard,14.99,2023-11-24,,Active
2,1,Basic,9.99,2024-05-22,,Active
3,1,Basic,9.99,2024-11-18,,Active
4,2,Basic,9.99,2023-05-06,,Active
5,2,Basic,9.99,2023-11-02,2024-02-10,Canceled
6,3,Premium,19.99,2023-12-13,2024-06-03,Canceled
7,4,Premium,19.99,2023-01-17,2023-04-25,Canceled
8,5,Standard,14.99,2023-09-16,,Active
9,5,Standard,14.99,2024-03-14,,Active
10,5,Standard,14.99,2024-09-10,,Active
11,6,Premium,19.99,2023-11-29,2024-03-05,Canceled
12,7,Premium,19.99,2023-10-29,,Active
13,7,Premium,19.99,2024-04-26,,Active
14,7,Premium,19.99,2024-10-23,2025-01-10,Canceled
15,8,Standard,14.99,2023-12-24,2024-04-13,Canceled
16,9,Premium,19.99,2023-04-21,2024-03-12,Canceled
17,10,Standard,14.99,2023-02-19,,Active
18,10,Premium,19.99,2023-08-18,,Active
19,10,Premium,19.99,2024-02-14,,Active
20,10,Premium,19.99,2024-08-12,,Active
21,11,Premium,19.99,2023-05-16,,Active
22,11,Basic,9.99,2023-11-12,2024-11-06,Canceled
23,12,Standard,14.99,2023-03-05,,Active
24,12,Standard,14.99,2023-09-01,,Active
25,12,Standard,14.99,2024-02-28,,Active
26,12,Standard,14.99,2024-08-26,,Active
27,13,Premium,19.99,2023-11-18,2024-09-27,Canceled
28,14,Standard,14.99,2023-04-09,,Active
29,14,Premium,19.99,2023-10-06,,Active
30,14,Premium,19.99,2024-04-03,2025-02-21,Canceled
31,15,Premium,19.99,2023-05-29,,Active
32,15,Premium,19.99,2023-11-25,2024-01-25,Canceled
33,16,Standard,14.99,2023-07-14,2023-10-16,Canceled
34,17,Standard,14.99,2023-03-25,,Active
35,17,Standard,14.99,2023-09-21,,Active
36,17,Standard,14.99,2024-03-19,,Active
37,17,Standard,14.99,2024-09-15,,Active
38,18,Premium,19.99,2023-12-26,2024-09-05,Canceled
39,19,Premium,19.99,2023-10-01,,Active
40,19,Premium,19.99,2024-03-29,,Active
41,19,Premium,19.99,2024-09-25,2025-07-29,Canceled
42,20,Premium,19.99,2023-05-19,,Active
43,20,Premium,19.99,2023-11-15,2024-04-15,Canceled
44,21,Standard,14.99,2023-12-17,,Active
45,21,Standard,14.99,2024-06-14,,Active
46,21,Standard,14.99,2024-12-11,,Active
47,22,Standard,14.99,2023-01-17,,Active
48,22,Standard,14.99,2023-07-16,,Active
49,22,Standard,14.99,2024-01-12,,Active
50,22,Standard,14.99,2024-07-10,2025-05-12,Canceled
51,23,Standard,14.99,2023-04-19,,Active
52,23,Basic,9.99,2023-10-16,,Active
53,23,Basic,9.99,2024-04-13,,Active
54,23,Basic,9.99,2024-10-10,,Active
55,24,Standard,14.99,2023-12-02,,Active
56,24,Standard,14.99,2024-05-30,,Active
57,24,Standard,14.99,2024-11-26,2025-08-30,Canceled
58,25,Basic,9.99,2023-03-15,2023-08-12,Canceled
59,26,Standard,14.99,2023-10-03,2024-05-13,Canceled
60,27,Premium,19.99,2023-10-26,,Active
61,27,Premium,19.99,2024-04-23,,Active
62,27,Premium,19.99,2024-10-20,,Active
63,28,Standard,14.99,2023-09-18,,Active
64,28,Standard,14.99,2024-03-16,,Active
65,28,Standard,14.99,2024-09-12,,Active
66,29,Premium,19.99,2023-03-20,,Active
67,29,Premium,19.99,2023-09-16,2024-06-11,Canceled
68,30,Basic,9.99,2023-11-02,,Active
69,30,Basic,9.99,2024-04-30,2024-12-11,Canceled
70,31,Standard,14.99,2023-08-28,,Active
71,31,Standard,14.99,2024-02-24,,Active
72,31,Standard,14.99,2024-08-22,2025-06-04,Canceled
73,32,Standard,14.99,2023-12-15,2024-09-04,Canceled
74,33,Standard,14.99,2023-11-25,,Active
75,33,Standard,14.99,2024-05-23,,Active
76,33,Standard,14.99,2024-11-19,,Active
77,34,Standard,14.99,2023-03-22,,Active
78,34,Standard,14.99,2023-09-18,2023-12-10,Canceled
79,35,Standard,14.99,2023-09-14,,Active
80,35,Standard,14.99,2024-03-12,2024-09-01,Canceled
81,36,Premium,19.99,2023-11-24,,Active
82,36,Premium,19.99,2024-05-22,,Active
83,36,Premium,19.99,2024-11-18,,Active
84,37,Basic,9.99,2023-07-11,2024-02-24,Canceled
85,38,Basic,9.99,2023-11-03,,Active
86,38,Basic,9.99,2024-05-01,,Active
87,38,Premium,19.99,2024-10-28,,Active
88,39,Basic,9.99,2023-07-05,,Active
89,39,Basic,9.99,2024-01-01,,Active
90,39,Basic,9.99,2024-06-29,,Active
91,39,Basic,9.99,2024-12-26,2025-12-04,Canceled
92,40,Basic,9.99,2023-10-18,,Active
93,40,Basic,9.99,2024-04-15,,Active
94,40,Basic,9.99,2024-10-12,,Active
95,41,Basic,9.99,2023-02-05,,Active
96,41,Basic,9.99,2023-08-04,,Active
97,41,Basic,9.99,2024-01-31,,Active
98,41,Basic,9.99,2024-07-29,,Active
99,42,Standard,14.99,2023-12-04,2024-04-24,Canceled
100,43,Standard,14.99,2023-09-28,2024-05-14,Canceled
101,44,Standard,14.99,2023-12-20,2024-06-07,Canceled
102,45,Premium,19.99,2023-12-10,,Active
103,45,Premium,19.99,2024-06-07,,Active
104,45,Premium,19.99,2024-12-04,,Active
105,46,Premium,19.99,2023-08-20,,Active
106,46,Standard,14.99,2024-02-16,2024-12-20,Canceled
107,47,Basic,9.99,2023-06-23,,Active
108,47,Standard,14.99,2023-12-20,,Active
109,47,Premium,19.99,2024-06-17,2024-12-20,Canceled
