user_id,age,country,device,acquisition_channel,signup_date
1,25,Thailand,Tablet,Facebook Ads,2023-11-24
2,32,Singapore,Tablet,Organic,2023-05-06
3,52,Thailand,Tablet,Referral,2023-12-13
4,19,Thailand,Mobile,Google Ads,2023-01-17
5,56,Thailand,Tablet,Google Ads,2023-09-16
6,52,UK,Mobile,Referral,2023-11-29
7,35,Australia,Mobile,Google Ads,2023-10-29
8,45,USA,Desktop,Google Ads,2023-12-24
9,39,Thailand,Mobile,Referral,2023-04-21
10,40,Australia,Desktop,Affiliate,2023-02-19
11,20,India,Desktop,Affiliate,2023-05-16
12,42,Thailand,Tablet,Facebook Ads,2023-03-05
13,57,Australia,Desktop,Affiliate,2023-11-18
14,22,Thailand,Tablet,Google Ads,2023-04-09
15,23,Australia,Mobile,Organic,2023-05-29
16,35,UK,Tablet,Facebook Ads,2023-07-14
17,41,USA,Mobile,Facebook Ads,2023-03-25
18,59,Thailand,Tablet,Google Ads,2023-12-26
19,33,Singapore,Desktop,Referral,2023-10-01
20,58,India,Tablet,Google Ads,2023-05-19
21,38,Australia,Mobile,Google Ads,2023-12-17
22,38,UK,Desktop,Organic,2023-01-17
23,54,India,Desktop,Google Ads,2023-04-19
24,49,UK,Tablet,Referral,2023-12-02
25,34,Singapore,Mobile,Affiliate,2023-03-15
26,34,India,Tablet,Referral,2023-10-03
27,43,USA,Mobile,Google Ads,2023-10-26
28,49,Thailand,Mobile,Organic,2023-09-18
29,58,Singapore,Tablet,Referral,2023-03-20
30,22,UK,Desktop,Affiliate,2023-11-02
31,51,USA,Tablet,Organic,2023-08-28
32,25,India,Tablet,Facebook Ads,2023-12-15
33,39,Thailand,Desktop,Referral,2023-11-25
34,47,Thailand,Tablet,Facebook Ads,2023-03-22
35,29,Germany,Mobile,Facebook Ads,2023-09-14
36,50,Germany,Mobile,Google Ads,2023-11-24
37,28,Germany,Tablet,Organic,2023-07-11
38,38,UK,Mobile,Organic,2023-11-03
39,37,Singapore,Mobile,Google Ads,2023-07-05
40,23,Thailand,Tablet,Referral,2023-10-18
41,52,Australia,Mobile,Google Ads,2023-02-05
42,48,Germany,Mobile,Facebook Ads,2023-12-04
43,56,UK,Mobile,Affiliate,2023-09-28
44,30,India,Desktop,Referral,2023-12-20
45,59,USA,Desktop,Affiliate,2023-12-10
46,25,Singapore,Mobile,Organic,2023-08-20
47,19,Germany,Tablet,Google Ads,2023-06-23
48,32,Thailand,Mobile,Organic,2023-10-29
49,22,Thailand,Desktop,Organic,2023-04-28
50,33,USA,Tablet,Referral,2023-09-21
51,52,Singapore,Tablet,Affiliate,2023-04-20
52,48,Singapore,Desktop,Referral,2023-10-23
53,24,Thailand,Tablet,Referral,2023-04-08
54,45,UK,Desktop,Organic,2023-07-01
55,59,India,Mobile,Organic,2023-12-11
56,39,Australia,Mobile,Google Ads,2023-07-26
57,30,Germany,Desktop,Google Ads,2023-04-09
58,29,USA,Desktop,Google Ads,2023-08-05
59,46,Australia,Tablet,Organic,2023-02-08
60,59,Germany,Mobile,Organic,2023-01-26
61,28,UK,Desktop,Referral,2023-05-02
62,43,Thailand,Mobile,Referral,2023-04-20
63,42,USA,Desktop,Facebook Ads,2023-01-02
64,53,India,Tablet,Referral,2023-08-05
65,30,USA,Mobile,Organic,2023-03-21
66,52,Thailand,Tablet,Facebook Ads,2023-10-24
67,21,Germany,Desktop,Affiliate,2023-01-30
68,28,Thailand,Tablet,Organic,2023-09-29
69,22,Germany,Mobile,Google Ads,2023-04-06
70,25,Germany,Mobile,Affiliate,2023-07-26
71,20,Germany,Mobile,Referral,2023-11-01
72,55,Germany,Tablet,Facebook Ads,2023-12-03
73,31,India,Tablet,Facebook Ads,2023-05-14
